ID,Equation,Answer,Type,Complexity,Method_Used,Output_Answer,IsCorrect,Latency_ms,CPU_Time_ms,RAM_Peak_MB,Request_Size_Bytes,Response_Size_Bytes,HTTP_Status_Code,SOAP_Fault_Flag,Retry_Count,SOAP_Calls_Count
chal-770,( 19.0 - 5.0 ),14,Subtraction,0.4785,SOAP_Calculator,14.0,1,73.56950012035668,0.0,0.00390625,303,252,200,0,0,1
chal-671,( 7.0 + 13.0 ),20,Addition,0.4785,SOAP_Calculator,20.0,1,73.62999999895692,0.0,0.0078125,303,252,200,0,0,1
chal-130,( 14.0 - 7.0 ),7,Subtraction,0.4785,SOAP_Calculator,7.0,1,73.58120009303093,15.625,0,303,251,200,0,0,1
chal-638,( 8.0 / 4.0 ),2,Common-Division,0.4632,SOAP_Calculator,2.0,1,71.70039997436106,0.0,0,302,251,200,0,0,1
chal-992,( 308.0 + 318.0 ),626,Addition,0.5244,SOAP_Calculator,626.0,1,97.95930003747344,0.0,0,306,253,200,0,0,1
chal-343,( 4.0 - 3.0 ),1,Subtraction,0.4632,SOAP_Calculator,1.0,1,72.7152000181377,0.0,0.03125,302,251,200,0,0,1
chal-309,( 56.0 * 39.0 ),2184,Multiplication,0.4938,SOAP_Calculator,2184.0,1,109.71960006281734,0.0,0.01171875,304,254,200,0,0,1
chal-137,( 115.0 - 111.0 ),4,Subtraction,0.5244,SOAP_Calculator,4.0,1,72.8343001101166,15.625,0,306,251,200,0,0,1
chal-89,( 21.0 - 16.0 ),5,Subtraction,0.4938,SOAP_Calculator,5.0,1,72.51959992572665,0.0,0.03125,304,251,200,0,0,1
chal-328,( 78.0 / 3.0 ),26,Common-Division,0.4785,SOAP_Calculator,26.0,1,94.66030006296933,0.0,0,303,252,200,0,0,1
chal-476,( 10.0 / ( 4.0 + 6.0 ) ),1,Common-Division,0.937,SOAP_Calculator,1.0,1,126.60760013386607,0.0,0,606,503,200,0,0,2
chal-982,( 62.0 - 39.0 ),23,Subtraction,0.4938,SOAP_Calculator,23.0,1,95.33480019308627,0.0,0.03515625,304,252,200,0,0,1
chal-851,( 62.0 * 183.0 ),11346,Multiplication,0.5091,SOAP_Calculator,11346.0,1,93.42849999666214,0.0,0.03515625,305,255,200,0,0,1
chal-893,( 61.0 - 52.0 ),9,Subtraction,0.4938,SOAP_Calculator,9.0,1,73.24409997090697,0.0,0.03515625,304,251,200,0,0,1
chal-376,( 76.0 * 2.0 ),152,Multiplication,0.4785,SOAP_Calculator,152.0,1,92.86480001173913,15.625,0.0703125,303,253,200,0,0,1
chal-179,( ( 6.0 + 3.0 ) + 5.0 ),14,Addition,0.9265,SOAP_Calculator,14.0,1,124.38450008630753,15.625,0.015625,604,503,200,0,0,2
chal-27,( 450.0 + 38.0 ),488,Addition,0.5091,SOAP_Calculator,488.0,1,93.7302999664098,0.0,0,305,253,200,0,0,1
chal-350,( 3.0 + 10.0 ),13,Addition,0.4785,SOAP_Calculator,13.0,1,83.70400010608137,15.625,0.00390625,303,252,200,0,0,1
chal-500,( 180.0 / 15.0 ),12,Common-Division,0.5091,SOAP_Calculator,12.0,1,95.34649993292987,0.0,0.00390625,305,252,200,0,0,1
chal-475,( 612.0 / 6.0 ),102,Common-Division,0.4938,SOAP_Calculator,102.0,1,93.15640013664961,0.0,0,304,253,200,0,0,1
chal-618,( ( 57.0 + 39.0 ) - 34.0 ),62,Subtraction,0.958,SOAP_Calculator,62.0,1,199.01420013047755,0.0,0,608,504,200,0,0,2
chal-698,( 10.0 - 7.0 ),3,Subtraction,0.4785,SOAP_Calculator,3.0,1,52.092500030994415,0.0,0.06640625,303,251,200,0,0,1
chal-51,( 97.0 - 40.0 ),57,Subtraction,0.4938,SOAP_Calculator,57.0,1,94.07120011746883,0.0,0.00390625,304,252,200,0,0,1
chal-212,( 25.0 * 14.0 ),350,Multiplication,0.4938,SOAP_Calculator,350.0,1,94.95629998855293,0.0,0.0078125,304,253,200,0,0,1
chal-382,( 20.0 - 19.0 ),1,Subtraction,0.4938,SOAP_Calculator,1.0,1,72.11819989606738,0.0,0.0078125,304,251,200,0,0,1
chal-884,( 53.0 - 14.0 ),39,Subtraction,0.4938,SOAP_Calculator,39.0,1,93.15960016101599,0.0,0.0078125,304,252,200,0,0,1
chal-174,( 17.0 - 9.0 ),8,Subtraction,0.4785,SOAP_Calculator,8.0,1,71.93499989807606,0.0,0.00390625,303,251,200,0,0,1
chal-148,( 628.0 - 159.0 ),469,Subtraction,0.5244,SOAP_Calculator,469.0,1,73.73899989761412,0.0,0.06640625,306,253,200,0,0,1
chal-420,( 20.0 - 12.0 ),8,Subtraction,0.4938,SOAP_Calculator,8.0,1,84.59000010043383,15.625,0,304,251,200,0,0,1
chal-962,( 108.0 * 58.0 ),6264,Multiplication,0.5091,SOAP_Calculator,6264.0,1,94.44119990803301,0.0,0.00390625,305,254,200,0,0,1
chal-149,( 576.0 / 8.0 ),72,Common-Division,0.4938,SOAP_Calculator,72.0,1,94.50019989162683,0.0,0.0078125,304,252,200,0,0,1
chal-976,( 20.0 + 14.0 ),34,Addition,0.4938,SOAP_Calculator,34.0,1,75.16390015371144,0.0,0,304,252,200,0,0,1
chal-80,( 215.0 * 20.0 ),4300,Multiplication,0.5091,SOAP_Calculator,4300.0,1,92.9562000092119,0.0,0.0234375,305,254,200,0,0,1
chal-776,( 12.0 * 35.0 ),420,Multiplication,0.4938,SOAP_Calculator,420.0,1,102.08539990708232,0.0,0.01171875,304,253,200,0,0,1
chal-303,( 13.0 + 12.0 ),25,Addition,0.4938,SOAP_Calculator,25.0,1,92.59959985502064,0.0,0.0390625,304,252,200,0,0,1
chal-996,( 36.0 / 12.0 ),3,Common-Division,0.4938,SOAP_Calculator,3.0,1,76.10459998250008,15.625,0,304,251,200,0,0,1
chal-526,( 38.0 / 19.0 ),2,Common-Division,0.4938,SOAP_Calculator,2.0,1,71.38200011104345,15.625,0.03125,304,251,200,0,0,1
chal-775,( 12.0 + 9.0 ),21,Addition,0.4785,SOAP_Calculator,21.0,1,75.75440010987222,0.0,0,303,252,200,0,0,1
chal-232,( 8.0 * 35.0 ),280,Multiplication,0.4785,SOAP_Calculator,280.0,1,99.94420013390481,0.0,0.03515625,303,253,200,0,0,1
chal-626,( ( 14.0 - 20.0 ) + 8.0 ),2,Addition,0.9475,SOAP_Calculator,14.0,0,168.43349998816848,15.625,0.03515625,606,504,200,0,0,2
chal-801,( 4.0 - ( 3.0 - 4.0 ) ),5,Subtraction,0.9265,SOAP_Calculator,,0,95.34180001355708,0.0,0.00390625,302,252,200,0,0,1
chal-562,( 6.0 - 2.0 ),4,Subtraction,0.4632,SOAP_Calculator,4.0,1,55.156199960038066,0.0,0.0078125,302,251,200,0,0,1
chal-510,( 37.0 - 15.0 ),22,Subtraction,0.4938,SOAP_Calculator,22.0,1,72.0287999138236,0.0,0.00390625,304,252,200,0,0,1
chal-841,( 7.0 - 2.0 ),5,Subtraction,0.4632,SOAP_Calculator,5.0,1,74.77129995822906,0.0,0,302,251,200,0,0,1
chal-495,( 17.0 - 13.0 ),4,Subtraction,0.4938,SOAP_Calculator,4.0,1,71.93229999393225,15.625,0.0546875,304,251,200,0,0,1
chal-120,( 27.0 - 5.0 ),22,Subtraction,0.4785,SOAP_Calculator,22.0,1,72.97450001351535,0.0,0.0390625,303,252,200,0,0,1
chal-478,( 54.0 - 48.0 ),6,Subtraction,0.4938,SOAP_Calculator,6.0,1,72.58449983783066,0.0,0.00390625,304,251,200,0,0,1
chal-145,( 257.0 - 120.0 ),137,Subtraction,0.5244,SOAP_Calculator,137.0,1,92.2056999988854,0.0,0,306,253,200,0,0,1
chal-30,( 4.0 / 2.0 ),2,Common-Division,0.4632,SOAP_Calculator,2.0,1,58.91419993713498,15.625,0.03515625,302,251,200,0,0,1
chal-911,( 28.0 * 4.0 ),112,Multiplication,0.4785,SOAP_Calculator,112.0,1,92.94699993915856,0.0,0.01171875,303,253,200,0,0,1
chal-122,( ( 19.0 + 237.0 ) - 231.0 ),25,Subtraction,0.979,SOAP_Calculator,25.0,1,170.5067998263985,15.625,0.03515625,611,505,200,0,0,2
chal-606,( 61.0 + 177.0 ),238,Addition,0.5091,SOAP_Calculator,238.0,1,93.45529996789992,0.0,0,305,253,200,0,0,1
chal-62,( 6.0 / 3.0 ),2,Common-Division,0.4632,SOAP_Calculator,2.0,1,73.25810007750988,0.0,0.03125,302,251,200,0,0,1
chal-872,( 11.0 * 9.0 ),99,Multiplication,0.4785,SOAP_Calculator,99.0,1,95.84280010312796,0.0,0.0078125,303,252,200,0,0,1
chal-573,( 34.0 - 15.0 ),19,Subtraction,0.4938,SOAP_Calculator,19.0,1,74.44190001115203,0.0,0,304,252,200,0,0,1
chal-6,( 49.0 - 3.0 ),46,Subtraction,0.4785,SOAP_Calculator,46.0,1,99.18400016613305,0.0,0,303,252,200,0,0,1
chal-927,( 24.0 - 17.0 ),7,Subtraction,0.4938,SOAP_Calculator,7.0,1,76.3497999869287,15.625,0.046875,304,251,200,0,0,1
chal-640,( 11.0 - 8.0 ),3,Subtraction,0.4785,SOAP_Calculator,3.0,1,72.0535998698324,0.0,0.0390625,303,251,200,0,0,1
chal-440,( 7.0 - 2.0 ),5,Subtraction,0.4632,SOAP_Calculator,5.0,1,51.9422001671046,0.0,0.0078125,302,251,200,0,0,1
chal-730,( 23.0 - 10.0 ),13,Subtraction,0.4938,SOAP_Calculator,13.0,1,73.5470000654459,0.0,0,304,252,200,0,0,1
chal-194,( 40.0 - 19.0 ),21,Subtraction,0.4938,SOAP_Calculator,21.0,1,72.21119990572333,0.0,0.03515625,304,252,200,0,0,1
chal-753,( 376.0 - 111.0 ),265,Subtraction,0.5244,SOAP_Calculator,265.0,1,93.47569989040494,0.0,0,306,253,200,0,0,1
chal-627,( 16.0 + 6.0 ),22,Addition,0.4785,SOAP_Calculator,22.0,1,93.13649986870587,0.0,0,303,252,200,0,0,1
chal-572,( ( 134.0 - 39.0 ) - 68.0 ),27,Subtraction,0.9685,SOAP_Calculator,27.0,1,168.04099990986288,0.0,0.00390625,609,504,200,0,0,2
chal-18,( 732.0 + 682.0 ),1414,Addition,0.5244,SOAP_Calculator,1414.0,1,93.08719984255731,15.625,0.00390625,306,254,200,0,0,1
chal-743,( ( 6.0 - 2.0 ) + 7.0 ),11,Addition,0.9265,SOAP_Calculator,11.0,1,148.65819993428886,15.625,0.01171875,604,503,200,0,0,2
chal-915,( ( 87.0 - 7.0 ) - 7.0 ),73,Subtraction,0.937,SOAP_Calculator,73.0,1,190.91770006343722,0.0,0,606,504,200,0,0,2
chal-511,( 10.0 / 5.0 ),2,Common-Division,0.4785,SOAP_Calculator,2.0,1,51.30960000678897,0.0,0.0390625,303,251,200,0,0,1
chal-574,( 95.0 * 118.0 ),11210,Multiplication,0.5091,SOAP_Calculator,11210.0,1,95.73339996859431,15.625,0.00390625,305,255,200,0,0,1
chal-139,( 8.0 / 4.0 ),2,Common-Division,0.4632,SOAP_Calculator,2.0,1,51.971100037917495,0.0,0.0390625,302,251,200,0,0,1
chal-192,( 20.0 / 2.0 ),10,Common-Division,0.4785,SOAP_Calculator,10.0,1,93.9829999115318,0.0,0.00390625,303,252,200,0,0,1
chal-5,( 30.0 - 28.0 ),2,Subtraction,0.4938,SOAP_Calculator,2.0,1,71.16590021178126,0.0,0.03125,304,251,200,0,0,1
chal-444,( ( 17.0 - 7.0 ) - 8.0 ),2,Subtraction,0.937,SOAP_Calculator,2.0,1,142.83449994400144,0.0,0.03125,606,503,200,0,0,2
chal-21,( ( 121.0 - 105.0 ) + 170.0 ),186,Addition,0.9895,SOAP_Calculator,186.0,1,166.80920007638633,0.0,0,611,505,200,0,0,2
chal-214,( 21.0 - 2.0 ),19,Subtraction,0.4785,SOAP_Calculator,19.0,1,71.92209991626441,0.0,0,303,252,200,0,0,1
chal-65,( 149.0 - 10.0 ),139,Subtraction,0.5091,SOAP_Calculator,139.0,1,96.6962999664247,0.0,0.01953125,305,253,200,0,0,1
chal-412,( 9.0 - 2.0 ),7,Subtraction,0.4632,SOAP_Calculator,7.0,1,55.51410000771284,15.625,0.0078125,302,251,200,0,0,1
chal-302,( ( 14.0 - 5.0 ) - 6.0 ),3,Subtraction,0.937,SOAP_Calculator,3.0,1,148.71120010502636,0.0,0,605,502,200,0,0,2
chal-334,( ( 23.0 + 4.0 ) - 2.0 ),25,Subtraction,0.937,SOAP_Calculator,25.0,1,150.4850999917835,0.0,0.04296875,606,504,200,0,0,2
chal-193,( 14.0 - ( 4.0 * 3.0 ) ),2,Subtraction,0.937,SOAP_Calculator,2.0,1,149.10740009509027,0.0,0.0390625,606,503,200,0,0,2
chal-665,( 240.0 - 210.0 ),30,Subtraction,0.5244,SOAP_Calculator,30.0,1,73.95699992775917,0.0,0.0078125,306,252,200,0,0,1
chal-263,( 89.0 - 63.0 ),26,Subtraction,0.4938,SOAP_Calculator,26.0,1,71.84060011059046,0.0,0.00390625,304,252,200,0,0,1
chal-648,( 666.0 - 100.0 ),566,Subtraction,0.5244,SOAP_Calculator,566.0,1,94.0770001616329,0.0,0.00390625,306,253,200,0,0,1
chal-811,( 13.0 + 8.0 ),21,Addition,0.4785,SOAP_Calculator,21.0,1,53.33769996650517,0.0,0.03515625,303,252,200,0,0,1
chal-233,( 16.0 - 8.0 ),8,Subtraction,0.4785,SOAP_Calculator,8.0,1,72.48189998790622,0.0,0,303,251,200,0,0,1
chal-796,( 167.0 - 108.0 ),59,Subtraction,0.5244,SOAP_Calculator,59.0,1,92.4156999681145,15.625,0.0078125,306,252,200,0,0,1
chal-682,( 67.0 - 35.0 ),32,Subtraction,0.4938,SOAP_Calculator,32.0,1,94.57419998943806,15.625,0.00390625,304,252,200,0,0,1
chal-805,( 131.0 - 19.0 ),112,Subtraction,0.5091,SOAP_Calculator,112.0,1,96.41330013982952,15.625,0,305,253,200,0,0,1
chal-483,( ( 53.0 + 181.0 ) * 466.0 ),109044,Multiplication,0.979,SOAP_Calculator,109044.0,1,210.2603001985699,0.0,0.06640625,611,509,200,0,0,2
chal-361,( 51.0 - 44.0 ),7,Subtraction,0.4938,SOAP_Calculator,7.0,1,72.86499999463558,0.0,0.0390625,304,251,200,0,0,1
chal-839,( 85.0 - ( 23.0 + 37.0 ) ),25,Subtraction,0.958,SOAP_Calculator,25.0,1,170.30199989676476,0.0,0.00390625,608,504,200,0,0,2
chal-237,( 397.0 + 85.0 ),482,Addition,0.5091,SOAP_Calculator,482.0,1,97.02149988152087,0.0,0,305,253,200,0,0,1
chal-628,( 34044.0 + 424944.0 ),458988,Addition,0.6008,SOAP_Calculator,458988.0,1,95.71119979955256,0.0,0,311,256,200,0,0,1
chal-958,( 21.0 / 3.0 ),7,Common-Division,0.4785,SOAP_Calculator,7.0,1,72.3218999337405,0.0,0.03515625,303,251,200,0,0,1
chal-583,( ( 8.0 + 8.0 ) - 3.0 ),13,Subtraction,0.9265,SOAP_Calculator,13.0,1,149.5764998253435,0.0,0.0078125,605,504,200,0,0,2
chal-273,( 4.0 * 12.0 ),48,Multiplication,0.4785,SOAP_Calculator,48.0,1,92.93159982189536,0.0,0.0078125,303,252,200,0,0,1
chal-202,( 60.0 / 10.0 ),6,Common-Division,0.4938,SOAP_Calculator,6.0,1,92.50529995188117,0.0,0,304,251,200,0,0,1
chal-14,( ( 4.0 + 13.0 ) * 15.0 ),255,Multiplication,0.9475,SOAP_Calculator,255.0,1,193.98959982208908,0.0,0.01953125,607,505,200,0,0,2
chal-428,( 10.0 + 8.0 ),18,Addition,0.4785,SOAP_Calculator,18.0,1,95.68589995615184,0.0,0.0390625,303,252,200,0,0,1
chal-240,( ( 51.0 + 22.0 ) - 4.0 ),69,Subtraction,0.9475,SOAP_Calculator,69.0,1,193.67809989489615,15.625,0.06640625,607,504,200,0,0,2
chal-85,( 4.0 * 5.0 ),20,Multiplication,0.4632,SOAP_Calculator,20.0,1,94.84259993769228,0.0,0.03515625,302,252,200,0,0,1
chal-533,( 17.0 - 16.0 ),1,Subtraction,0.4938,SOAP_Calculator,1.0,1,73.64839990623295,0.0,0.00390625,304,251,200,0,0,1
chal-173,( 26.0 * 33.0 ),858,Multiplication,0.4938,SOAP_Calculator,858.0,1,93.53130008094013,0.0,0,304,253,200,0,0,1
chal-290,( 557.0 + 188.0 ),745,Addition,0.5244,SOAP_Calculator,745.0,1,96.58799995668232,0.0,0.00390625,306,253,200,0,0,1
chal-486,( 65.0 * 6.0 ),390,Multiplication,0.4785,SOAP_Calculator,390.0,1,93.80490006878972,0.0,0.00390625,303,253,200,0,0,1
chal-330,( 71.0 - 60.0 ),11,Subtraction,0.4938,SOAP_Calculator,11.0,1,72.53119978122413,0.0,0,304,252,200,0,0,1
chal-684,( 17.0 - 13.0 ),4,Subtraction,0.4938,SOAP_Calculator,4.0,1,65.70630008354783,0.0,0.015625,304,251,200,0,0,1
chal-319,( ( 4.0 + 2.0 ) - 3.0 ),3,Subtraction,0.9265,SOAP_Calculator,3.0,1,144.13549983873963,0.0,0.03515625,604,502,200,0,0,2
chal-455,( 7.0 - 6.0 ),1,Subtraction,0.4632,SOAP_Calculator,1.0,1,51.329500041902065,0.0,0.03515625,302,251,200,0,0,1
chal-250,( 2.0 * 7.0 ),14,Multiplication,0.4632,SOAP_Calculator,14.0,1,137.16419995762408,15.625,0,302,252,200,0,0,1
chal-847,( ( 28.0 + 52.0 ) * 26.0 ),2080,Multiplication,0.958,SOAP_Calculator,2080.0,1,193.6868999619037,31.25,0.078125,608,506,200,0,0,2
chal-280,( 18.0 / 6.0 ),3,Common-Division,0.4785,SOAP_Calculator,3.0,1,76.57350017689168,0.0,0,303,251,200,0,0,1
chal-456,( 4.0 + 6.0 ),10,Addition,0.4632,SOAP_Calculator,10.0,1,56.27799988724291,0.0,0.01171875,302,252,200,0,0,1
chal-902,( ( 9.0 - 4.0 ) + 5.0 ),10,Addition,0.9265,SOAP_Calculator,10.0,1,125.8293001446873,15.625,0.0078125,604,503,200,0,0,2
chal-762,( 5.0 - 2.0 ),3,Subtraction,0.4632,SOAP_Calculator,3.0,1,73.37909983471036,0.0,0,302,251,200,0,0,1
chal-548,( 95.0 - 64.0 ),31,Subtraction,0.4938,SOAP_Calculator,31.0,1,76.2912998907268,15.625,0,304,252,200,0,0,1
chal-181,( ( 13.0 * 17.0 ) + 8.0 ),229,Addition,0.9475,SOAP_Calculator,229.0,1,191.5941999759525,15.625,0.0546875,608,506,200,0,0,2
chal-558,( 54.0 - 13.0 ),41,Subtraction,0.4938,SOAP_Calculator,41.0,1,96.99479979462922,0.0,0,304,252,200,0,0,1
chal-629,( 97.0 - 8.0 ),89,Subtraction,0.4785,SOAP_Calculator,89.0,1,75.1242998521775,0.0,0.03515625,303,252,200,0,0,1
chal-424,( 457.0 - 63.0 ),394,Subtraction,0.5091,SOAP_Calculator,394.0,1,97.40799991413951,0.0,0.00390625,305,253,200,0,0,1
chal-844,( 56.0 / 4.0 ),14,Common-Division,0.4785,SOAP_Calculator,14.0,1,76.22420019470155,0.0,0,303,252,200,0,0,1
chal-11,( 6.0 - ( 3.0 + 2.0 ) ),1,Subtraction,0.9265,SOAP_Calculator,1.0,1,110.62770010903478,0.0,0.03125,604,502,200,0,0,2
chal-200,( 360.0 / 9.0 ),40,Common-Division,0.4938,SOAP_Calculator,40.0,1,95.166000071913,15.625,0.04296875,304,252,200,0,0,1
chal-426,( ( 3.0 + 4.0 ) - 5.0 ),2,Subtraction,0.9265,SOAP_Calculator,2.0,1,108.3561999257654,15.625,0.015625,604,502,200,0,0,2
chal-535,( ( 573.0 - 195.0 ) - 210.0 ),168,Subtraction,0.9895,SOAP_Calculator,168.0,1,185.46930002048612,0.0,0,612,506,200,0,0,2
chal-32,( 17.0 - 15.0 ),2,Subtraction,0.4938,SOAP_Calculator,2.0,1,73.07250006124377,0.0,0.0546875,304,251,200,0,0,1
chal-580,( 128.0 - 38.0 ),90,Subtraction,0.5091,SOAP_Calculator,90.0,1,96.41520003788173,0.0,0.04296875,305,252,200,0,0,1
chal-405,( 32.0 - 23.0 ),9,Subtraction,0.4938,SOAP_Calculator,9.0,1,99.70809984952211,15.625,0.0078125,304,251,200,0,0,1
chal-278,( 10.0 / 2.0 ),5,Common-Division,0.4785,SOAP_Calculator,5.0,1,73.67850001901388,0.0,0.03125,303,251,200,0,0,1
chal-445,( 14.0 - 6.0 ),8,Subtraction,0.4785,SOAP_Calculator,8.0,1,72.59880006313324,15.625,0.00390625,303,251,200,0,0,1
chal-772,( 82.0 * 25.0 ),2050,Multiplication,0.4938,SOAP_Calculator,2050.0,1,94.6027000900358,0.0,0.03515625,304,254,200,0,0,1
chal-373,( ( 2.0 + 4.0 ) - 3.0 ),3,Subtraction,0.9265,SOAP_Calculator,3.0,1,127.79569998383522,0.0,0,604,502,200,0,0,2
chal-723,( 21.0 - 7.0 ),14,Subtraction,0.4785,SOAP_Calculator,14.0,1,72.46000017039478,15.625,0.00390625,303,252,200,0,0,1
chal-401,( 19.0 - 11.0 ),8,Subtraction,0.4938,SOAP_Calculator,8.0,1,71.64139999076724,0.0,0,304,251,200,0,0,1
chal-79,( 11.0 - 9.0 ),2,Subtraction,0.4785,SOAP_Calculator,2.0,1,77.98100006766617,0.0,0.0078125,303,251,200,0,0,1
chal-538,( 19.0 - 12.0 ),7,Subtraction,0.4938,SOAP_Calculator,7.0,1,73.45460006035864,0.0,0,304,251,200,0,0,1
chal-576,( 12.0 / 3.0 ),4,Common-Division,0.4785,SOAP_Calculator,4.0,1,75.53980010561645,0.0,0,303,251,200,0,0,1
chal-549,( 18.0 / 6.0 ),3,Common-Division,0.4785,SOAP_Calculator,3.0,1,52.97730001620948,15.625,0.01953125,303,251,200,0,0,1
chal-711,( 9.0 - 7.0 ),2,Subtraction,0.4632,SOAP_Calculator,2.0,1,54.35450002551079,0.0,0.046875,302,251,200,0,0,1
chal-42,( 50.0 - 46.0 ),4,Subtraction,0.4938,SOAP_Calculator,4.0,1,74.5131999719888,15.625,0.03125,304,251,200,0,0,1
chal-886,( 15.0 - 5.0 ),10,Subtraction,0.4785,SOAP_Calculator,10.0,1,79.34220018796623,15.625,0.03515625,303,252,200,0,0,1
chal-633,( 12.0 / 3.0 ),4,Common-Division,0.4785,SOAP_Calculator,4.0,1,51.9083000253886,15.625,0.03125,303,251,200,0,0,1
chal-859,( ( 23.0 + 61.0 ) * 29.0 ),2436,Multiplication,0.958,SOAP_Calculator,2436.0,1,191.64479989558458,0.0,0.015625,608,506,200,0,0,2
chal-140,( 19.0 - 3.0 ),16,Subtraction,0.4785,SOAP_Calculator,16.0,1,77.12240004912019,0.0,0.00390625,303,252,200,0,0,1
chal-386,( 5.0 - ( 14.0 - 11.0 ) ),2,Subtraction,0.9475,SOAP_Calculator,2.0,1,124.80969983153045,0.0,0,606,502,200,0,0,2
chal-457,( 28.0 - 7.0 ),21,Subtraction,0.4785,SOAP_Calculator,21.0,1,71.49639981798828,0.0,0.03125,303,252,200,0,0,1
chal-933,( ( 2.0 + 150.0 ) - 58.0 ),94,Subtraction,0.958,SOAP_Calculator,94.0,1,196.2892001029104,0.0,0,609,505,200,0,0,2
chal-814,( 93.0 - 60.0 ),33,Subtraction,0.4938,SOAP_Calculator,33.0,1,98.40020001865923,15.625,0,304,252,200,0,0,1
chal-141,( 23.0 - 8.0 ),15,Subtraction,0.4785,SOAP_Calculator,15.0,1,100.90700001455843,0.0,0.046875,303,252,200,0,0,1
chal-625,( 5.0 - 2.0 ),3,Subtraction,0.4632,SOAP_Calculator,3.0,1,59.02199982665479,15.625,0.0078125,302,251,200,0,0,1
chal-321,( 15.0 - 6.0 ),9,Subtraction,0.4785,SOAP_Calculator,9.0,1,75.98090008832514,0.0,0.0390625,303,251,200,0,0,1
chal-709,( 2.0 + 7.0 ),9,Addition,0.4632,SOAP_Calculator,9.0,1,71.51200016960502,0.0,0,302,251,200,0,0,1
chal-458,( 8.0 / 2.0 ),4,Common-Division,0.4632,SOAP_Calculator,4.0,1,52.286599995568395,0.0,0.00390625,302,251,200,0,0,1
chal-874,( ( 105.0 + 71.0 ) - 137.0 ),39,Subtraction,0.979,SOAP_Calculator,39.0,1,170.9712001029402,0.0,0.03125,611,505,200,0,0,2
chal-327,( 20.0 - 7.0 ),13,Subtraction,0.4785,SOAP_Calculator,13.0,1,75.55039995349944,0.0,0,303,252,200,0,0,1
chal-127,( 70.0 / 14.0 ),5,Common-Division,0.4938,SOAP_Calculator,5.0,1,78.56970001012087,0.0,0,304,251,200,0,0,1
chal-133,( ( 22.0 + 40.0 ) - 2.0 ),60,Subtraction,0.9475,SOAP_Calculator,60.0,1,174.66000001877546,0.0,0.0078125,607,504,200,0,0,2
chal-818,( 169.0 - 137.0 ),32,Subtraction,0.5244,SOAP_Calculator,32.0,1,72.27249979041517,15.625,0.0078125,306,252,200,0,0,1
chal-398,( 18.0 - 8.0 ),10,Subtraction,0.4785,SOAP_Calculator,10.0,1,73.84249987080693,0.0,0,303,252,200,0,0,1
chal-916,( 485.0 - 232.0 ),253,Subtraction,0.5244,SOAP_Calculator,253.0,1,97.60440001264215,0.0,0.0390625,306,253,200,0,0,1
chal-994,( 84.0 / 2.0 ),42,Common-Division,0.4785,SOAP_Calculator,42.0,1,97.4512998946011,0.0,0.0078125,303,252,200,0,0,1
chal-416,( 15.0 - 12.0 ),3,Subtraction,0.4938,SOAP_Calculator,3.0,1,75.6373000331223,0.0,0.0390625,304,251,200,0,0,1
chal-596,( ( 76.0 - 64.0 ) * 50.0 ),600,Multiplication,0.958,SOAP_Calculator,600.0,1,184.3417000491172,15.625,0.06640625,608,505,200,0,0,2
chal-259,( 8.0 + 32.0 ),40,Addition,0.4785,SOAP_Calculator,40.0,1,92.47080003842711,15.625,0.00390625,303,252,200,0,0,1
chal-314,( 81.0 - 59.0 ),22,Subtraction,0.4938,SOAP_Calculator,22.0,1,71.56089995987713,0.0,0.00390625,304,252,200,0,0,1
chal-410,( 154.0 + 301.0 ),455,Addition,0.5244,SOAP_Calculator,455.0,1,94.20249983668327,0.0,0,306,253,200,0,0,1
chal-163,( 28.0 - 15.0 ),13,Subtraction,0.4938,SOAP_Calculator,13.0,1,71.69200014322996,0.0,0,304,252,200,0,0,1
chal-305,( 5.0 + 9.0 ),14,Addition,0.4632,SOAP_Calculator,14.0,1,74.9437001068145,0.0,0,302,252,200,0,0,1
chal-287,( 571.0 - 161.0 ),410,Subtraction,0.5244,SOAP_Calculator,410.0,1,95.1001001521945,15.625,0,306,253,200,0,0,1
chal-645,( 32.0 - 20.0 ),12,Subtraction,0.4938,SOAP_Calculator,12.0,1,74.15730017237365,0.0,0,304,252,200,0,0,1
chal-636,( 31.0 * 6.0 ),186,Multiplication,0.4785,SOAP_Calculator,186.0,1,97.14520000852644,15.625,0.0078125,303,253,200,0,0,1
chal-354,( 66.0 * 28.0 ),1848,Multiplication,0.4938,SOAP_Calculator,1848.0,1,97.8403000626713,0.0,0.05078125,304,254,200,0,0,1
chal-69,( 11.0 * 2.0 ),22,Multiplication,0.4785,SOAP_Calculator,22.0,1,92.9982999805361,0.0,0.00390625,303,252,200,0,0,1
chal-679,( ( 23.0 - 11.0 ) / 2.0 ),6,Common-Division,0.9475,SOAP_Calculator,6.0,1,144.08050011843443,0.0,0.06640625,607,503,200,0,0,2
chal-834,( 22.0 - 12.0 ),10,Subtraction,0.4938,SOAP_Calculator,10.0,1,74.70960007049143,15.625,0.00390625,304,252,200,0,0,1
chal-936,( 391.0 - 38.0 ),353,Subtraction,0.5091,SOAP_Calculator,353.0,1,96.36999992653728,15.625,0,305,253,200,0,0,1
chal-680,( ( 4.0 - 2.0 ) + 3.0 ),1,Addition,0.9265,SOAP_Calculator,5.0,0,103.61779993399978,15.625,0.03515625,604,502,200,0,0,2
