ID,Equation,Answer,Type,Complexity
chal-208,( 5.0 - 4.0 ),1,Subtraction,0.4632
chal-155,( 6.0 - 4.0 ),2,Subtraction,0.4632
chal-588,( ( 62.0 - 144.0 ) + 149.0 ),67,Addition,0.979
chal-758,( 86.0 - 41.0 ),45,Subtraction,0.4938
chal-986,( 11.0 - 3.0 ),8,Subtraction,0.4785
chal-384,( 406.0 - 336.0 ),70,Subtraction,0.5244
chal-802,( 14.0 + 8.0 ),22,Addition,0.4785
chal-649,( ( 23.0 - 15.0 ) / 4.0 ),2,Common-Division,0.9475
chal-807,( 18.0 + 14.0 ),32,Addition,0.4938
chal-537,( ( 49.0 - 59.0 ) + 24.0 ),14,Addition,0.958
chal-504,( 19.0 - 2.0 ),17,Subtraction,0.4785
chal-738,( 7.0 - 5.0 ),2,Subtraction,0.4632
chal-560,( 79.0 - ( 14.0 + 11.0 ) ),54,Subtraction,0.958
chal-545,( 36.0 - 35.0 ),1,Subtraction,0.4938
chal-357,( 24.0 - ( 3.0 + 9.0 ) ),12,Subtraction,0.937
chal-207,( 8.0 + 3.0 ),11,Addition,0.4632
chal-889,( ( 5.0 * 10.0 ) - 5.0 ),45,Subtraction,0.937
chal-612,( 440.0 - ( 111.0 + 106.0 ) ),223,Subtraction,0.9895
chal-712,( 60.0 - 19.0 ),41,Subtraction,0.4938
chal-532,( ( 11.0 * 15.0 ) - 16.0 ),149,Subtraction,0.958
chal-260,( 91.0 + 92.0 ),183,Addition,0.4938
chal-154,( 19.0 - ( 4.0 - 19.0 ) ),34,Subtraction,0.9475
chal-853,( 30.0 - ( 47.0 - 30.0 ) ),13,Subtraction,0.958
chal-64,( ( 11.0 - 7.0 ) - 2.0 ),2,Subtraction,0.937
chal-435,( 28.0 / 7.0 ),4,Common-Division,0.4785
chal-340,( 53.0 - 49.0 ),4,Subtraction,0.4938
chal-514,( 43.0 - 27.0 ),16,Subtraction,0.4938
chal-749,( 7.0 - ( 2.0 + 3.0 ) ),2,Subtraction,0.9265
chal-488,( 153.0 / 17.0 ),9,Common-Division,0.5091
chal-525,( 8.0 - 3.0 ),5,Subtraction,0.4632
chal-894,( 14.0 - 13.0 ),1,Subtraction,0.4938
chal-953,( 406.0 - 132.0 ),274,Subtraction,0.5244
chal-187,( ( 15.0 - 10.0 ) / 5.0 ),1,Common-Division,0.9475
chal-674,( ( 18.0 - 10.0 ) * 15.0 ),120,Multiplication,0.958
chal-344,( 80.0 - 37.0 ),43,Subtraction,0.4938
chal-378,( 8.0 - 7.0 ),1,Subtraction,0.4632
chal-904,( 12.0 - 11.0 ),1,Subtraction,0.4938
chal-369,( 4.0 + 3.0 ),7,Addition,0.4632
chal-569,( 9.0 + 11.0 ),20,Addition,0.4785
chal-276,( ( 7.0 - 2.0 ) - 4.0 ),1,Subtraction,0.9265
chal-691,( 4.0 * 6.0 ),24,Multiplication,0.4632
chal-267,( ( 108.0 - 35.0 ) - 62.0 ),11,Subtraction,0.9685
chal-783,( ( 6.0 + 2.0 ) + 4.0 ),12,Addition,0.9265
chal-938,( ( 10.0 + 11.0 ) - 4.0 ),17,Subtraction,0.9475
chal-534,( ( 67.0 + 60.0 ) - 58.0 ),69,Subtraction,0.958
chal-23,( 180.0 / 18.0 ),10,Common-Division,0.5091
chal-543,( 53.0 + 14.0 ),67,Addition,0.4938
chal-98,( 10.0 + 20.0 ),30,Addition,0.4938
chal-296,( 6.0 - 2.0 ),4,Subtraction,0.4632
chal-461,( 19.0 + 39.0 ),58,Addition,0.4938
chal-198,( 30.0 - 28.0 ),2,Subtraction,0.4938
chal-708,( 8.0 - 4.0 ),4,Subtraction,0.4632
chal-262,( 230.0 / 23.0 ),10,Common-Division,0.5091
chal-311,( 31.0 + 35.0 ),66,Addition,0.4938
chal-980,( ( 81.0 + 92.0 ) - 46.0 ),127,Subtraction,0.958
chal-161,( 32.0 / 2.0 ),16,Common-Division,0.4785
chal-403,( 420.0 / 30.0 ),14,Common-Division,0.5091
chal-540,( ( 15.0 + 62.0 ) * 19.0 ),1463,Multiplication,0.958
chal-177,( 12.0 - 4.0 ),8,Subtraction,0.4785
chal-727,( 90.0 + 484.0 ),574,Addition,0.5091
chal-794,( 6.0 - 3.0 ),3,Subtraction,0.4632
chal-819,( ( 5.0 + 7.0 ) - 9.0 ),3,Subtraction,0.9265
chal-779,( 17.0 - 5.0 ),12,Subtraction,0.4785
chal-757,( 16.0 - 12.0 ),4,Subtraction,0.4938
chal-298,( 676.0 - 22.0 ),654,Subtraction,0.5091
chal-92,( 408.0 - 42.0 ),366,Subtraction,0.5091
chal-930,( ( 512.0 + 471.0 ) + 808.0 ),1791,Addition,0.9895
chal-450,( ( 38.0 + 36.0 ) - 16.0 ),58,Subtraction,0.958
chal-646,( 40.0 - 8.0 ),32,Subtraction,0.4785
chal-15,( 6.0 + 4.0 ),10,Addition,0.4632
chal-481,( 165.0 * 156.0 ),25740,Multiplication,0.5244
chal-997,( 75.0 - 19.0 ),56,Subtraction,0.4938
chal-869,( 12.0 - 9.0 ),3,Subtraction,0.4785
chal-432,( 93.0 / ( 107.0 - 106.0 ) ),93,Common-Division,0.979
chal-696,( 24.0 - 2.0 ),22,Subtraction,0.4785
chal-503,( ( 19.0 * 15.0 ) * 20.0 ),5700,Multiplication,0.958
chal-261,( 242.0 - 115.0 ),127,Subtraction,0.5244
chal-329,( 154.0 - 91.0 ),63,Subtraction,0.5091
chal-180,( 18.0 - 5.0 ),13,Subtraction,0.4785
chal-565,( 16.0 - 14.0 ),2,Subtraction,0.4938
chal-396,( ( 706.0 + 222.0 ) + 418.0 ),1346,Addition,0.9895
chal-496,( 42.0 - 19.0 ),23,Subtraction,0.4938
chal-36,( ( 4.0 - 8.0 ) + 5.0 ),1,Addition,0.9265
chal-443,( 244.0 * 146.0 ),35624,Multiplication,0.5244
chal-928,( 25.0 + 16.0 ),41,Addition,0.4938
chal-660,( 6.0 - ( 2.0 + 3.0 ) ),1,Subtraction,0.9265
chal-637,( 13.0 - 10.0 ),3,Subtraction,0.4938
chal-99,( 112.0 / 16.0 ),7,Common-Division,0.5091
chal-338,( 43.0 - 25.0 ),18,Subtraction,0.4938
chal-13,( ( 692.0 + 692.0 ) - 458.0 ),926,Subtraction,0.9895
chal-685,( 56.0 - 29.0 ),27,Subtraction,0.4938
chal-117,( 400.0 / 40.0 ),10,Common-Division,0.5091
chal-447,( 10.0 / 2.0 ),5,Common-Division,0.4785
chal-408,( 132.0 - 31.0 ),101,Subtraction,0.5091
chal-816,( 4.0 + 13.0 ),17,Addition,0.4785
chal-313,( ( 11.0 - 3.0 ) - 3.0 ),5,Subtraction,0.937
chal-359,( 94.0 - 47.0 ),47,Subtraction,0.4938
chal-472,( 896.0 / 8.0 ),112,Common-Division,0.4938
chal-205,( 6.0 - ( 2.0 + 3.0 ) ),1,Subtraction,0.9265
chal-228,( ( 14.0 + 21.0 ) / 7.0 ),5,Common-Division,0.9475
chal-482,( 12.0 * 5.0 ),60,Multiplication,0.4785
chal-40,( 19.0 - 16.0 ),3,Subtraction,0.4938
chal-392,( 19.0 + 18.0 ),37,Addition,0.4938
chal-111,( 52.0 / 26.0 ),2,Common-Division,0.4938
chal-833,( 6.0 - ( 3.0 + 2.0 ) ),1,Subtraction,0.9265
chal-813,( 16.0 - 15.0 ),1,Subtraction,0.4938
chal-963,( 829.0 - 45.0 ),784,Subtraction,0.5091
chal-422,( 8.0 - 7.0 ),1,Subtraction,0.4632
chal-341,( 5.0 - 3.0 ),2,Subtraction,0.4632
chal-184,( 14.0 * 30.0 ),420,Multiplication,0.4938
chal-998,( 60.0 * ( 55.0 / 15.0 ) ),220,Multiplication,0.958
chal-423,( 4950.0 / 495.0 ),10,Common-Division,0.5396
chal-182,( 83.0 - 54.0 ),29,Subtraction,0.4938
chal-905,( 9.0 - ( 6.0 - 4.0 ) ),7,Subtraction,0.9265
chal-862,( 14.0 - 13.0 ),1,Subtraction,0.4938
chal-650,( 22.0 / 11.0 ),2,Common-Division,0.4938
chal-746,( ( 173.0 - 86.0 ) + 103.0 ),190,Addition,0.979
chal-701,( 6.0 - 2.0 ),4,Subtraction,0.4632
chal-106,( 16.0 * 6.0 ),96,Multiplication,0.4785
chal-920,( 4.0 / 2.0 ),2,Common-Division,0.4632
chal-652,( 11.0 - ( 9.0 - 4.0 ) ),6,Subtraction,0.937
chal-367,( 460.0 / 5.0 ),92,Common-Division,0.4938
chal-620,( 21.0 + 7.0 ),28,Addition,0.4785
chal-906,( ( 2.0 * 12.0 ) / 4.0 ),6,Common-Division,0.937
chal-316,( 90.0 / 5.0 ),18,Common-Division,0.4785
chal-43,( 177.0 * 46.0 ),8142,Multiplication,0.5091
chal-131,( 20.0 - 11.0 ),9,Subtraction,0.4938
chal-441,( 88.0 + 53.0 ),141,Addition,0.4938
chal-152,( ( 544.0 * 10 ) * 32.0 ),174080,Multiplication,0.957
chal-589,( 315.0 + 291.0 ),606,Addition,0.5244
chal-37,( 246.0 + 703.0 ),949,Addition,0.5244
chal-153,( 10.0 * 45.0 ),450,Multiplication,0.4938
chal-677,( 19.0 - 4.0 ),15,Subtraction,0.4785
chal-961,( 84.0 + 8.0 ),92,Addition,0.4785
chal-602,( 28.0 + 42.0 ),70,Addition,0.4938
chal-438,( 6.0 + 2.0 ),8,Addition,0.4632
chal-453,( 8.0 - 5.0 ),3,Subtraction,0.4632
chal-786,( 35.0 / 5.0 ),7,Common-Division,0.4785
chal-269,( 81.0 / 3.0 ),27,Common-Division,0.4785
chal-134,( 13.0 - 12.0 ),1,Subtraction,0.4938
chal-342,( 4.0 / 2.0 ),2,Common-Division,0.4632
chal-804,( 10.0 - 8.0 ),2,Subtraction,0.4785
chal-46,( 35.0 - 3.0 ),32,Subtraction,0.4785
chal-284,( ( 9.0 + 7.0 ) - 10.0 ),6,Subtraction,0.937
chal-653,( 92.0 / 46.0 ),2,Common-Division,0.4938
chal-949,( 157.0 * 146.0 ),22922,Multiplication,0.5244
chal-53,( 20.0 / 5.0 ),4,Common-Division,0.4785
chal-822,( 16.0 + 74.0 ),90,Addition,0.4938
chal-780,( 22.0 * 46.0 ),1012,Multiplication,0.4938
chal-978,( 58.0 - 33.0 ),25,Subtraction,0.4938
chal-600,( ( 10.0 * 7.0 ) - 2.0 ),68,Subtraction,0.937
chal-209,( ( 2.0 + 5.0 ) - 4.0 ),3,Subtraction,0.9265
chal-352,( 9.0 - 4.0 ),5,Subtraction,0.4632
chal-216,( 14.0 - 2.0 ),12,Subtraction,0.4785
chal-289,( 8.0 - 6.0 ),2,Subtraction,0.4632
chal-279,( 140.0 * 187.0 ),26180,Multiplication,0.5244
chal-954,( 29.0 - 26.0 ),3,Subtraction,0.4938
chal-821,( 137.0 + 105.0 ),242,Addition,0.5244
chal-110,( 58.0 - 35.0 ),23,Subtraction,0.4938
chal-119,( 489.0 - 479.0 ),10,Subtraction,0.5244
chal-942,( 18.0 + 5.0 ),23,Addition,0.4785
chal-138,( 9.0 * 20.0 ),180,Multiplication,0.4785
chal-107,( 828521.0 - 800059.0 ),28462,Subtraction,0.616
chal-307,( 19.0 - 14.0 ),5,Subtraction,0.4938
chal-973,( 53.0 - 21.0 ),32,Subtraction,0.4938
chal-9,( 10.0 - 6.0 ),4,Subtraction,0.4785
chal-823,( 14.0 / 7.0 ),2,Common-Division,0.4785
chal-310,( ( 10.0 + 3.0 ) + 7.0 ),20,Addition,0.937
chal-557,( 21.0 - ( 5.0 + 9.0 ) ),7,Subtraction,0.937
chal-744,( ( 8.0 + 12.0 ) - 3.0 ),17,Subtraction,0.937
chal-635,( 22.0 + 20.0 ),42,Addition,0.4938
chal-292,( 19.0 - 13.0 ),6,Subtraction,0.4938
chal-379,( 15.0 - 12.0 ),3,Subtraction,0.4938
chal-890,( 13.0 * 16.0 ),208,Multiplication,0.4938
chal-630,( 12.0 - 2.0 ),10,Subtraction,0.4785
chal-358,( 13.0 - 2.0 ),11,Subtraction,0.4785
chal-713,( 18.0 - 3.0 ),15,Subtraction,0.4785
chal-621,( 6.0 - 4.0 ),2,Subtraction,0.4632
chal-519,( 120.0 / 6.0 ),20,Common-Division,0.4938
chal-663,( 17.0 - 12.0 ),5,Subtraction,0.4938
chal-551,( ( 41.0 - 6.0 ) / 7.0 ),5,Common-Division,0.937
chal-76,( 53.0 * 41.0 ),2173,Multiplication,0.4938
chal-103,( ( 3.0 + 4.0 ) - 6.0 ),1,Subtraction,0.9265
chal-577,( ( 15.0 + 18.0 ) - 7.0 ),26,Subtraction,0.9475
chal-858,( 34.0 - 10.0 ),24,Subtraction,0.4938
chal-10,( 9.0 + 12.0 ),21,Addition,0.4785
chal-75,( 218.0 + 351.0 ),569,Addition,0.5244
chal-952,( 5.0 + 11.0 ),16,Addition,0.4785
chal-469,( 9.0 - ( 3.0 * 2.0 ) ),3,Subtraction,0.9265
chal-308,( ( 301.0 - 157.0 ) / 144.0 ),1,Common-Division,0.9895
chal-135,( 11.0 * 28.0 ),308,Multiplication,0.4938
chal-860,( 7.0 * 30.0 ),210,Multiplication,0.4785
chal-885,( 6.0 / 2.0 ),3,Common-Division,0.4632
chal-245,( 19.0 - 8.0 ),11,Subtraction,0.4785
chal-642,( ( 4.0 + 22.0 ) + 16.0 ),42,Addition,0.9475
chal-210,( 30.0 - 23.0 ),7,Subtraction,0.4938
chal-268,( 12.0 + 17.0 ),29,Addition,0.4938
chal-871,( 18.0 - 8.0 ),10,Subtraction,0.4785
chal-536,( 492.0 - 11.0 ),481,Subtraction,0.5091
chal-579,( 18.0 / 2.0 ),9,Common-Division,0.4785
chal-846,( 6.0 - ( 2.0 + 3.0 ) ),1,Subtraction,0.9265
chal-969,( ( 13.0 + 10.0 ) + 15.0 ),38,Addition,0.958
chal-84,( ( 632.0 + 465.0 ) - 410.0 ),687,Subtraction,0.9895
chal-41,( 12.0 - 2.0 ),10,Subtraction,0.4785
chal-609,( 12.0 - 7.0 ),5,Subtraction,0.4785
chal-593,( 42.0 / 3.0 ),14,Common-Division,0.4785
chal-854,( 16.0 * 6.0 ),96,Multiplication,0.4785
chal-584,( 7.0 - 3.0 ),4,Subtraction,0.4632
chal-123,( 8.0 - 4.0 ),4,Subtraction,0.4632
chal-414,( 16.0 - 8.0 ),8,Subtraction,0.4785
chal-241,( 300.0 - 280.0 ),20,Subtraction,0.5244
chal-724,( 33.0 / 11.0 ),3,Common-Division,0.4938
chal-610,( 30.0 + 8.0 ),38,Addition,0.4785
chal-767,( 20.0 - 6.0 ),14,Subtraction,0.4785
chal-191,( 154.0 - 78.0 ),76,Subtraction,0.5091
chal-83,( 6.0 - 4.0 ),2,Subtraction,0.4632
chal-521,( ( 73.0 + 724.0 ) + 744.0 ),1541,Addition,0.979
chal-877,( 20.0 / 4.0 ),5,Common-Division,0.4785
chal-806,( 7.0 - 5.0 ),2,Subtraction,0.4632
chal-784,( 392.0 / 14.0 ),28,Common-Division,0.5091
chal-515,( 10.0 + 4.0 ),14,Addition,0.4785
chal-489,( 45.0 * 9.0 ),405,Multiplication,0.4785
chal-848,( 6.0 + 4.0 ),10,Addition,0.4632
chal-673,( 30.0 - 23.0 ),7,Subtraction,0.4938
chal-59,( 13.0 - 3.0 ),10,Subtraction,0.4785
chal-322,( 167.0 - 89.0 ),78,Subtraction,0.5091
chal-692,( 232.0 - 86.0 ),146,Subtraction,0.5091
chal-556,( 37.0 - 36.0 ),1,Subtraction,0.4938
chal-594,( 215.0 / 5.0 ),43,Common-Division,0.4938
chal-838,( ( 9.0 + 8.0 ) + 17.0 ),34,Addition,0.937
chal-223,( 19.0 - 4.0 ),15,Subtraction,0.4785
chal-304,( 12.0 - 11.0 ),1,Subtraction,0.4938
chal-717,( 4.0 - 3.0 ),1,Subtraction,0.4632
chal-159,( ( 31.0 + 27.0 ) * 11.0 ),638,Multiplication,0.958
chal-499,( 14.0 - 5.0 ),9,Subtraction,0.4785
chal-570,( 32.0 / 8.0 ),4,Common-Division,0.4785
chal-898,( 17.0 - 11.0 ),6,Subtraction,0.4938
chal-293,( 27.0 - 23.0 ),4,Subtraction,0.4938
chal-466,( 46.0 - 43.0 ),3,Subtraction,0.4938
chal-989,( ( 109.0 + 82.0 ) * 79.0 ),15089,Multiplication,0.9685
chal-400,( ( 4.0 + 8.0 ) / 3.0 ),4,Common-Division,0.9265
chal-3,( 26.0 - 9.0 ),17,Subtraction,0.4785
chal-887,( 50.0 - 6.0 ),44,Subtraction,0.4785
chal-169,( ( 33.0 + 51.0 ) - 63.0 ),21,Subtraction,0.958
chal-726,( 242.0 - 136.0 ),106,Subtraction,0.5244
chal-870,( 26.0 / 13.0 ),2,Common-Division,0.4938
chal-219,( 14.0 / 7.0 ),2,Common-Division,0.4785
chal-493,( ( 491.0 - 216.0 ) * 1181.0 ),324775,Multiplication,1.0
chal-716,( 13.0 - ( 9.0 - 4.0 ) ),8,Subtraction,0.937
chal-752,( 10.0 - 8.0 ),2,Subtraction,0.4785
chal-171,( 893835.0 + 644997.0 ),1538832,Addition,0.616
chal-243,( 52.0 + 38.0 ),90,Addition,0.4938
chal-981,( 15.0 - 10.0 ),5,Subtraction,0.4938
chal-16,( ( 36.0 - 12.0 ) - 8.0 ),16,Subtraction,0.9475
chal-554,( 28.0 - 22.0 ),6,Subtraction,0.4938
chal-668,( 3.0 + 6.0 ),9,Addition,0.4632
chal-52,( 14.0 - 8.0 ),6,Subtraction,0.4785
chal-990,( 7.0 - 4.0 ),3,Subtraction,0.4632
chal-564,( 12.0 - 11.0 ),1,Subtraction,0.4938
chal-454,( 19.0 - 15.0 ),4,Subtraction,0.4938
chal-78,( 5.0 + 3.0 ),8,Addition,0.4632
chal-256,( 14.0 - 5.0 ),9,Subtraction,0.4785
chal-913,( ( 868.0 + 868.0 ) - 281.0 ),1455,Subtraction,0.9895
chal-718,( 81.0 - 68.0 ),13,Subtraction,0.4938
chal-188,( 78.0 - 22.0 ),56,Subtraction,0.4938
chal-830,( 17.0 - 16.0 ),1,Subtraction,0.4938
chal-144,( 60.0 / 10.0 ),6,Common-Division,0.4938
chal-967,( 38.0 / 19.0 ),2,Common-Divison,0.4938
chal-815,( ( 563.0 + 558.0 ) + 332.0 ),1453,Addition,0.9895
chal-706,( 78.0 + 48.0 ),126,Addition,0.4938
chal-924,( ( 4.0 * 20.0 ) - 18.0 ),62,Subtraction,0.9475
chal-255,( ( 700.0 + 700.0 ) + 142.0 ),1542,Addition,0.9895
chal-112,( 38.0 * 49.0 ),1862,Multiplication,0.4938
chal-348,( 527.0 + 554.0 ),1081,Addition,0.5244
chal-413,( ( 36.0 + 13.0 ) + 49.0 ),98,Addition,0.958
chal-63,( 52.0 / 26.0 ),2,Common-Division,0.4938
chal-101,( ( 3.0 + 5.0 ) + 2.0 ),10,Addition,0.9265
chal-662,( ( 201.0 + 217.0 ) * 14.0 ),5852,Multiplication,0.979
chal-670,( ( 3.0 + 5.0 ) + 2.0 ),10,Addition,0.9265
chal-690,( 27.0 + 53.0 ),80,Addition,0.4938
chal-56,( 154.0 + 50.0 ),204,Addition,0.5091
chal-479,( 24.0 * 45.0 ),1080,Multiplication,0.4938
chal-421,( 12.0 - 11.0 ),1,Subtraction,0.4938
chal-756,( 42.0 / 2.0 ),21,Common-Division,0.4785
